file,srepNumber,SpokesNumber,Spoke,xPos,yPos,zPos,radii,Ux,Uy,Uz
103430,1,1,up,-116.3857421875,-126.56207275390625,70.66263580322266,2.4745153633178547,0.12317481011365627,-0.8738539117820125,-0.47032680873700927
103430,1,2,up,-116.17959594726562,-126.8602523803711,71.13053131103516,2.4099870576224354,0.12859709724157037,-0.8838238791627934,-0.449797884835705
103430,1,3,up,-115.96800994873047,-127.15806579589844,71.61775970458984,2.323203784680919,0.13635270056325105,-0.8937450057938794,-0.4273497463057709
103430,1,4,up,-116.59688568115234,-126.24413299560547,70.18152618408203,2.523404623772595,0.11983014422313447,-0.862888943567318,-0.4909820848103735
103430,1,5,up,-117.03118896484375,-126.4694595336914,70.54698181152344,2.465827811852138,-0.030885262804622008,-0.8646974536305729,-0.5013426116203292
103430,1,6,up,-117.48746490478516,-126.68507385253906,70.93000793457031,2.2979876891626967,-0.2055021017854368,-0.8575510170457137,-0.4715666859794381
103430,1,7,up,-117.14859008789062,-125.31563568115234,68.84346771240234,2.560990547539094,0.12420378525241162,-0.8291608073448311,-0.5450374072412285
103430,1,8,up,-118.1055908203125,-125.51065063476562,69.12870788574219,2.6157326047326053,-0.1335536053524515,-0.8166956615270634,-0.5614014881884746
103430,1,9,up,-119.09864807128906,-125.70890808105469,69.47289276123047,2.3479225623837414,-0.4554344155687831,-0.7702972529740548,-0.446342508815983
103430,1,10,up,-117.82328796386719,-123.84996795654297,66.8343734741211,2.4838054980807853,0.17639462121270827,-0.766628478546859,-0.6173861947664148
103430,1,11,up,-119.10678100585938,-124.02330017089844,67.0979995727539,2.706955779390196,-0.1654290082643609,-0.7603188443897116,-0.6281309561632539
103430,1,12,up,-120.46589660644531,-124.2220458984375,67.47639465332031,2.479595228667835,-0.6089726107479444,-0.6848322017913856,-0.4001964701848276
103430,1,13,up,-118.44550323486328,-121.84553527832031,64.5423812866211,2.4145223875283954,0.21329293224204304,-0.7216627805980523,-0.6585658328178577
103430,1,14,up,-119.88872528076172,-121.95455169677734,64.81635284423828,2.700720904884866,-0.18585307689222286,-0.7209302140322402,-0.6676213450041286
