file,srepNumber,SpokesNumber,Spoke,xPos,yPos,zPos,radii,Ux,Uy,Uz
103430,1,1,up,-112.8060531616211,-107.65473937988281,90.9969482421875,3.7480508272962543,-0.5753827387542869,-0.7791732782094338,-0.24864373402114998
103430,1,2,up,-112.99452209472656,-108.50457763671875,91.0273666381836,3.689457383687706,-0.5537210130227959,-0.7989844016177744,-0.2345569562142542
103430,1,3,up,-113.17932891845703,-109.36882781982422,91.06510162353516,3.5874043503643227,-0.5248297950602621,-0.8197337692644968,-0.22932560638625568
103430,1,4,up,-112.57823944091797,-106.56036376953125,90.94775390625,3.7807225265040136,-0.5909757207350633,-0.7598761400394343,-0.2708061101608353
103430,1,5,up,-112.59847259521484,-107.66352844238281,90.6975326538086,3.9138352920686708,-0.5298776175386384,-0.796685434442983,-0.2907267255997833
103430,1,6,up,-112.61685180664062,-108.77491760253906,90.4280776977539,3.91189772247074,-0.43872198911070703,-0.8423689609959245,-0.31294975606539693
103430,1,7,up,-112.06724548339844,-103.53082275390625,90.65029907226562,3.821750271534591,-0.6168467331732268,-0.7136639827868243,-0.3319394936526312
103430,1,8,up,-111.87752532958984,-104.75752258300781,90.24297332763672,3.9237227060662985,-0.5192557585300399,-0.7617162128657043,-0.38750724933983094
103430,1,9,up,-111.68082427978516,-106.00325775146484,89.75411987304688,3.5377972949772927,-0.3615882831433439,-0.821620875262346,-0.4406734060804959
103430,1,10,up,-111.48756408691406,-99.32325744628906,89.53990936279297,3.6805613189064044,-0.7007072309194119,-0.6128699887196107,-0.3652393098559821
103430,1,11,up,-111.12599182128906,-100.45594024658203,89.18292236328125,3.632732418620193,-0.569961481166962,-0.6886853617889802,-0.44817003742278927
103430,1,12,up,-110.74370574951172,-101.6843032836914,88.72467041015625,3.2180118751605398,-0.26608587327144956,-0.803566674181707,-0.5324273736294185
103430,1,13,up,-110.6294174194336,-94.87401580810547,87.7536392211914,3.4840799174161154,-0.763791027495591,-0.45369019725938875,-0.4591170561283541
103430,1,14,up,-110.0934829711914,-95.8819580078125,87.33260345458984,3.2728716033346137,-0.6456295681893153,-0.5392534529010526,-0.5407108046025808
103430,1,15,up,-109.55611419677734,-96.98108673095703,86.80946350097656,2.579051137199909,-0.2550874352628263,-0.6920145193156986,-0.6753120059848603
103430,1,16,up,-109.8507080078125,-90.98827362060547,85.41693115234375,3.6665421051643867,-0.7922159262561536,-0.32257189282897175,-0.5180166987104171
103430,1,17,up,-109.07909393310547,-91.8987808227539,84.78829956054688,3.248192196690674,-0.6417128648125074,-0.4329211213033135,-0.6330749575394736
103430,1,18,up,-108.32524871826172,-92.90476989746094,84.01904296875,2.6137719861250948,-0.17020047363026322,-0.6260263082189482,-0.761001222202559
103430,1,19,up,-109.13613891601562,-87.9219741821289,82.67366790771484,3.7429702240352416,-0.7922405957061329,-0.25295863106793404,-0.5553078150750522
103430,1,20,up,-108.15211486816406,-88.81301879882812,81.73467254638672,3.4298259597495586,-0.6022227233217454,-0.4199965744341094,-0.6789187499094086
103430,1,21,up,-107.19294738769531,-89.8541488647461,80.59342956542969,3.1906411790670166,-0.06742242011146962,-0.6343944995381424,-0.7700635273937223
103430,1,22,up,-108.48494720458984,-85.6762924194336,79.89520263671875,3.736337544234551,-0.7851505479013098,-0.2250500871628994,-0.5769671354576831
103430,1,23,up,-107.36457061767578,-86.58446502685547,78.64979553222656,3.5976172657263668,-0.6032931742564881,-0.40664228931106877,-0.686060780426475
103430,1,24,up,-106.24321746826172,-87.69086456298828,77.14795684814453,3.517052731396993,-0.10595454161757532,-0.6074528817631326,-0.7872576652839114
103430,1,25,up,-107.95685577392578,-84.08689880371094,77.23253631591797,4.008003423407641,-0.777897534166577,-0.20326483736067782,-0.5946081333368188
103430,1,26,up,-106.8136978149414,-85.01547241210938,75.81775665283203,4.021839072542638,-0.6098995996001517,-0.3902876355039348,-0.68970866311822
103430,1,27,up,-105.6598892211914,-86.1589584350586,74.13538360595703,3.9926082553669193,-0.19940344984505165,-0.5750172917450458,-0.7934692044333447
103430,1,28,up,-107.5186996459961,-82.89860534667969,74.87886047363281,3.8854567510008367,-0.7835885624555632,-0.18831531835003198,-0.5920526206880179
103430,1,29,up,-106.4834213256836,-83.80794525146484,73.45618438720703,4.181894101365206,-0.6218138209552196,-0.3531176818939335,-0.699038965153535
103430,1,30,up,-105.47093200683594,-84.91854095458984,71.81144714355469,4.0976586057251465,-0.28753176957051385,-0.5105193671032516,-0.8103674828743713
103430,1,31,up,-107.22489166259766,-82.00376892089844,72.96025848388672,3.9661205818736778,-0.7789100977208785,-0.15185849435658336,-0.6084719035092772
103430,1,32,up,-106.4450912475586,-82.73439025878906,71.73834228515625,4.012367872507663,-0.6486036631465526,-0.28215719569413333,-0.7068950453008537
103430,1,33,up,-105.68795776367188,-83.58519744873047,70.39202117919922,3.8461965328914345,-0.40458399790355376,-0.4268705657549267,-0.8087603530913506
103430,1,34,up,-107.08206176757812,-81.44217681884766,71.66958618164062,3.676393558236338,-0.7681258127747115,-0.12104199780327128,-0.628753982505862
103430,1,35,up,-106.66834259033203,-81.79025268554688,70.83058166503906,3.5520415958308247,-0.6903071976628917,-0.19006983527232446,-0.6981041688561649
103430,1,36,up,-106.26861572265625,-82.1801986694336,69.95091247558594,3.3265570092856134,-0.569513877174423,-0.2737016496210677,-0.7750750613330702
103430,1,37,up,-107.04443359375,-81.24726104736328,71.21495819091797,3.451770518773822,-0.7606089558157093,-0.1022555972595114,-0.6411067065333486
