file,srepNumber,SpokesNumber,Spoke,xPos,yPos,zPos,radii,Ux,Uy,Uz
950194,31,50,up,-109.66453552246094,-87.3232650756836,82.99959564208984,3.883555180740207,-0.9118170813077159,-0.09232806058176193,-0.4000814160451454
950194,31,51,up,-110.93716430664062,-86.41785430908203,83.90937042236328,3.5050346418445706,-0.9711161879440688,0.23763832261631246,0.02147969127072028
950194,31,52,up,-110.13893127441406,-90.14227294921875,85.5160140991211,3.49773544025484,-0.9200227561423407,-0.22049654331312238,-0.3239435175570199
950194,31,53,up,-111.21282958984375,-89.55360412597656,86.353515625,3.0130346590387096,-0.9934196412313976,0.06854784241542622,0.0917529820543795
950194,31,54,up,-110.77791595458984,-93.84929656982422,87.8202896118164,3.156754005394523,-0.8590235809841312,-0.4481537673136467,-0.24746047796726175
950194,31,55,up,-111.63082122802734,-93.65887451171875,88.52767181396484,2.582581008501779,-0.9708570463989237,-0.21364402362738805,0.10859478176163984
950194,31,56,up,-111.72599792480469,-98.41744995117188,89.76597595214844,3.3596897760680116,-0.7722017873436785,-0.5983322565432354,-0.2137823903016991
950194,31,57,up,-112.41625213623047,-98.47456359863281,90.36817169189453,2.6007269061015816,-0.8877082151853701,-0.4571118590771294,0.0549806600856621
950194,31,58,up,-112.61219787597656,-103.03903198242188,90.9399642944336,3.581314119220889,-0.6216819066640179,-0.7468477857457181,-0.23607200565359174
950194,31,59,up,-113.16144561767578,-103.37201690673828,91.40596771240234,3.010312112949615,-0.6961885018449159,-0.7123188192931047,-0.08901387296263971
950194,31,60,up,-113.16139221191406,-106.73396301269531,91.286865234375,3.6037210899817618,-0.5405920994873252,-0.8009526952638284,-0.2573615393206504
950194,31,61,up,-113.56941223144531,-107.46511840820312,91.55196380615234,3.2673291177850796,-0.5848081540360124,-0.7885446299167316,-0.19025453897995867
950194,31,1,down,-113.05267333984375,-107.28514862060547,91.14260864257812,1.7019112338587474,0.6267459188112597,-0.12202571783319892,0.7696098215594199
950194,31,2,down,-113.27426147460938,-108.2281723022461,91.2198486328125,1.5979630444762434,0.5929086240605381,-0.19820101040184043,0.7804970999243553
950194,31,3,down,-113.49638366699219,-109.1830825805664,91.27645874023438,1.492704522246233,0.5490314779556962,-0.2997909856443716,0.7801857478448063
950194,31,4,down,-112.77281188964844,-106.03095245361328,91.00967407226562,1.8441133798709342,0.6604682788458717,-0.051278305896039836,0.7491009197583487
950194,31,5,down,-112.77520751953125,-107.08018493652344,90.92117309570312,1.719585862978332,0.6963949144859246,-0.22904945805835922,0.6801253331859604
950194,31,6,down,-112.79302978515625,-108.13217163085938,90.8115463256836,1.6040685820115779,0.6671595354470153,-0.5064679210792918,0.5462493928415325
950194,31,7,down,-112.09228515625,-102.72325897216797,90.47466278076172,2.182232514837147,0.71936508109318,0.0327547864464492,0.6938594987954335
950194,31,8,down,-111.864501953125,-103.76703643798828,90.25944519042969,2.04535876541158,0.8015021607566827,-0.18008446059871733,0.570231420875102
950194,31,9,down,-111.64452362060547,-104.86213684082031,89.99059295654297,1.8293954706021993,0.7697531412037709,-0.56576320791879,0.2956215387490692
950194,31,10,down,-111.09807586669922,-98.3802719116211,89.19608306884766,2.431846655871143,0.7741745086824043,0.12222015655569146,0.621060434609918
950194,31,11,down,-110.7294921875,-99.27408599853516,88.95189666748047,2.328254434310034,0.8491103424380898,-0.17180889386711226,0.49949307337822957
950194,31,12,down,-110.38392639160156,-100.29061889648438,88.66185760498047,2.1177459091488187,0.7292408325891759,-0.6685945815705089,0.14556474016464893
950194,31,13,down,-110.02483367919922,-94.0980224609375,87.16248321533203,2.7627746612955812,0.8000308606288964,0.13044877095803087,0.5856054475471747
950194,31,14,down,-109.46209716796875,-94.8965072631836,86.76493835449219,2.6621081411614966,0.8961413073772195,-0.15077415931903948,0.4173702314419233
950194,31,15,down,-108.96135711669922,-95.8720932006836,86.30899047851562,2.353530791490751,0.7577733703115695,-0.6525161321672168,0.0014887942034432734
950194,31,16,down,-109.1965103149414,-90.73481750488281,84.7366714477539,3.2672140847572035,0.8020267977617805,0.10814337378392522,0.587416399480483
950194,31,17,down,-108.39705657958984,-91.55140686035156,84.06279754638672,3.1127174764381813,0.9213444142324364,-0.09506501513224551,0.37694444320164017
